id,id2,Food Name,Category,Spiciness,Rice/Noodle/Bread,Hot/Cold,Soup
62,62,골뱅이무침,한식(안주),TRUE,밥,c,FALSE
63,63,깍두기,한식(반찬),TRUE,밥,c,FALSE
64,64,비빔국수,한식,TRUE,면,c,FALSE
65,65,꽃빵,중식,FALSE,빵,h,FALSE
66,66,참치비빔밥,일식,TRUE,밥,c,FALSE
67,67,불고기버거,한식,FALSE,밥,h,FALSE
68,68,겉절이,한식(반찬),TRUE,밥,c,FALSE
69,69,수제비,한식,FALSE,밥,h,TRUE
70,70,파전,한식,FALSE,밥,h,FALSE
71,71,명이나물,한식(반찬),FALSE,밥,c,FALSE
72,72,피자찐빵,간식,FALSE,빵,h,FALSE
73,73,오돌뼈,한식(안주),TRUE,밥,h,FALSE
74,74,양념게장,한식,TRUE,밥,c,FALSE
75,75,팟타이,태국식,FALSE,면,h,FALSE
76,76,떡볶이,한식,TRUE,밥,h,FALSE
77,77,뼈해장국,한식,TRUE,밥,h,TRUE
78,78,가리비구이,한식,FALSE,밥,h,FALSE
79,79,비지찌개,한식,FALSE,밥,h,TRUE
80,80,무지개떡,간식,FALSE,떡,c,FALSE
81,81,간장새우,한식,FALSE,밥,c,FALSE
82,82,김밥,한식,FALSE,밥,c,FALSE
83,83,녹차모찌,디저트 ,FALSE,떡,c,FALSE
84,84,생새우초밥,일식,FALSE,밥,c,FALSE
85,85,남산왕돈까스,한식,FALSE,밥,h,FALSE
86,86,조랭이떡,디저트 ,FALSE,떡,c,FALSE
87,87,녹차치즈모찌,디저트 ,FALSE,떡,c,FALSE
88,88,골뱅이소면무침,한식(안주),TRUE,면,c,FALSE
89,89,김치만두,한식,TRUE,밥,h,FALSE
90,90,군만두,중식,FALSE,튀김,h,FALSE
91,91,물만두,한식,FALSE,밥,h,FALSE
92,92,찐빵,간식,FALSE,빵,h,FALSE
93,93,멸치볶음,한식(반찬),FALSE,밥,c,FALSE
94,94,쫄면,한식,TRUE,면,c,FALSE
95,95,순대,한식,FALSE,밥,h,FALSE
96,96,곱창,한식,FALSE,밥,h,FALSE
97,97,대창,한식,FALSE,밥,h,FALSE
98,98,막창,한식,FALSE,밥,h,FALSE
99,99,LA갈비,한식,FALSE,밥,h,FALSE
100,100,콩나물무침,한식(반찬),FALSE,밥,c,FALSE
101,101,모찌롤,디저트 ,FALSE,빵,c,FALSE
102,102,냉치킨,한식,FALSE,밥,c,FALSE
103,103,선지해장국,한식,TRUE,밥,h,TRUE
104,104,깐쇼새우,중식,FALSE,튀김,h,FALSE
105,105,유산슬,중식,FALSE,밥,h,FALSE
106,106,고구마빵,간식,FALSE,빵,c,FALSE
107,107,돼지국밥,한식,FALSE,밥,h,TRUE
108,108,횡성한우,한식,FALSE,밥,h,FALSE
109,109,파김치,한식(반찬),TRUE,밥,c,FALSE
110,110,새우죽,한식,FALSE,밥,h,FALSE
111,111,고추장찌개,한식,TRUE,밥,h,TRUE
112,112,통감자,간식,FALSE,감자,h,FALSE
113,113,엽떡,분식,TRUE,떡,h,FALSE
114,114,회냉면,한식,TRUE,면,c,FALSE
115,115,낙지젓,한식(반찬),TRUE,밥,c,FALSE
116,116,육포,간식,FALSE,FALSE,c,FALSE
117,117,고구마밥,한식,FALSE,밥,h,FALSE
118,118,생선까스,한식,FALSE,밥,h,FALSE
119,119,오이지,한식(반찬),FALSE,밥,c,FALSE
120,120,된장국,한식,FALSE,밥,h,TRUE
121,121,찹쌀도넛,디저트 ,FALSE,빵,h,FALSE
122,122,백김치,한식(반찬),FALSE,밥,c,FALSE
123,123,파래,한식(반찬),FALSE,밥,c,FALSE
124,124,안동찜닭,한식,FALSE,밥,h,FALSE
125,125,까르보나라떡볶이,분식,FALSE,떡,h,FALSE
126,126,설렁탕,한식,FALSE,밥,h,TRUE
127,127,석박지,한식(반찬),FALSE,밥,c,FALSE
128,128,육회비빔밥,한식,TRUE,밥,c,FALSE
129,129,어묵꼬치,간식,FALSE,FALSE,h,TRUE
130,130,열무비빔밥,한식,FALSE,밥,c,FALSE
131,131,광어회,한식,FALSE,밥,c,FALSE
132,132,고추잡채,중식,FALSE,밥,h,FALSE
133,133,닭도리탕,한식,TRUE,밥,h,TRUE
134,134,참치볶음,한식,FALSE,밥,h,FALSE
135,135,슈크림빵,디저트 ,FALSE,빵,c,FALSE
136,136,오징어무침,한식(반찬),TRUE,밥,c,FALSE
137,137,도라지,한식(반찬),TRUE,밥,c,FALSE
138,138,양념갈비,한식,FALSE,밥,h,FALSE
139,139,닭똥집,한식(안주),FALSE,밥,h,FALSE
140,140,식혜,음료,FALSE,FALSE,c,FALSE
141,141,한우스테이크,한식,FALSE,밥,h,FALSE
142,142,돌솥비빔밥,한식,FALSE,밥,h,FALSE
143,143,야쿠르트,음료,FALSE,FALSE,c,FALSE
144,144,조기구이,한식,FALSE,밥,h,FALSE
145,145,돼지갈비찜,한식,FALSE,밥,h,FALSE
146,146,명란스파게티,양식,FALSE,면,h,FALSE
147,147,후쿠오카함바그,일식,FALSE,밥,h,FALSE
148,148,파무침,한식(반찬),TRUE,밥,c,FALSE
149,149,미숫가루,음료,FALSE,FALSE,c,FALSE
150,150,총각김치,한식(반찬),TRUE,밥,c,FALSE
151,151,떡갈비,한식,FALSE,밥,h,FALSE
152,152,양꼬치,중식,FALSE,밥,h,FALSE
153,153,홍초,음료,FALSE,FALSE,c,FALSE
154,154,굴,음식,FALSE,FALSE,c,FALSE
155,155,짬뽕밥,중식,TRUE,밥,h,TRUE
156,156,말린과일,간식,FALSE,과일,c,FALSE
157,157,볶음우동,일식,TRUE,면,h,FALSE
158,158,닭강정,간식,FALSE,구이,c,FALSE
159,159,동치미,한식(반찬),FALSE,밥,c,TRUE
160,160,떡꼬치,분식,FALSE,떡,h,FALSE
161,161,김말이튀김,분식,FALSE,튀김,h,FALSE
